# Модель: gigachat3.1-10b-a1.8b
# Путь: D:\TEST_AI1
# Среднее время ответа модели: 7.215 с
# Общее время ответов: 389.620 с
# Минимальное время: 1.743 с
# Максимальное время: 10.526 с
# Количество обработанных файлов: 54
# Дата: 2026-03-31 17:19:13

Путь	Результат	Время_ответа_с
D:\TEST_AI1\63637\4-1-05-2 Система водоснабжения\Раздел ПД№5 Подраздел ПД№2 ТР-СК-0809-25-ИОС2.1 Часть 1.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения; Заказчик: Государственное казённое учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/ОВО9-25-ИОС2.1; Объект: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2- дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	8.228
D:\TEST_AI1\63637\4-1-05-3 Система водоотведения\Раздел ПД№5 Подраздел ПД№3 ТР-СК-0809-25-ИОС3.1 Часть 1.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/0809-25-ИОСЗ.1; Объект: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	8.559
D:\TEST_AI1\63637\4-1-05-4 Отопл. конд. возд. тепл\Раздел ПД№5 Подраздел ПД№4 ТР-СК-0809-25-ИОС4.1 Часть 1.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения; Заказчик: Государственное казённое учреждение Московской области “Дирекция заказчика капитального строительства”; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/0809-25-ИОС&..1; Объект: МБОЧ г. Ивантеевка “Гимназия №3” (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	8.657
D:\TEST_AI1\63637\4-1-05-4 Отопл. конд. возд. тепл\Раздел ПД№5 Подраздел ПД№4 ТР-СК-0809-25-ИОС4.2 Часть 2.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/0809-25-ИОСЧ4.2; Объект: МБОУ ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	8.201
D:\TEST_AI1\63637\4-1-05-5 Сети связи\Раздел ПД№5 Подраздел ПД№5 ТР-СК-0809-25-ИОС5.1 Часть 1.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях и системах инженерно- технического обеспечения; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СКЛО809-25-ИОС5,1; Объект: МБОУ2 г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	8.612
D:\TEST_AI1\63637\4-1-05-5 Сети связи\Раздел ПД№5 Подраздел ПД№5 ТР-СК-0809-25-ИОС5.2 Часть 2.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях и системах инженерно- технического обеспечения; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СКЛО809-25-ИОС5.2; Объект: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	8.407
D:\TEST_AI1\63637\4-1-05-5 Сети связи\Раздел ПД№5 Подраздел ПД№5 ТР-СК-0809-25-ИОС5.3 Часть 3.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения; Заказчик: Государственное казённое учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/О809-25-ИОС5,3; Объект: МБОУ ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	8.401
D:\TEST_AI1\63637\4-1-05-5 Сети связи\Раздел ПД№5 Подраздел ПД№5 ТР-СК-0809-25-ИОС5.4 Часть 4.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения; Заказчик: Государственное казённое учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СКАО809-25-ИОС5А; Объект: МБОУ ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	7.791
D:\TEST_AI1\63637\4-1-05-5 Сети связи\Раздел ПД№5 Подраздел ПД№5 ТР-СК-0809-25-ИОС5.5 Часть 5.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/О809-25-ИОС5,5; Объект: МБОУ2г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	8.407
D:\TEST_AI1\63637\4-1-06 Технологические реш\Раздел ПД№6 ТР-СК-0809-25-ТХ.pdf	"Документация: Проектная документация; Раздел: Раздел 6. Технологические решения; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/0809-25-ТХ; Объект: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	7.857
D:\TEST_AI1\63637\4-1-07 Проект орг. стр-ва\Раздел ПД№7 ТР-СК-0809-25-ПОС.pdf	"Документация: Проектная документация; Раздел: Проект организации строительства; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/809-25-ПОС; Объект: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	7.118
D:\TEST_AI1\63637\4-1-09 Меропр. по пож. по без-ти\Раздел ПД№9 ТР-СК-0809-25-ПБ.pdf	"Документация: Проектная документация; Раздел: Мероприятия по обеспечению пожарной безопасности; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/0809-25-ПБ; Объект: МБОУ ""Гимназия №3"" (корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	7.213
D:\TEST_AI1\63637\4-1-10 Безопасн эксплуат\Раздел ПД№10 ТР-СК-0809-25-ТБЭ.pdf	"Документация: Проектная документация; Раздел: Раздел 10. Требования к обеспечению безопасной эксплуатации объектов капитального строительства; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: не указано; Проект: ТР/СК/О809-25-ТБЭ; Объект: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	7.746
D:\TEST_AI1\63637\4-1-11 Меропр-я по доступу инвал\Раздел ПД№11 ТР-СК-0809-25-ОДИ.pdf	"Документация: Проектная документация; Раздел: Мероприятия по обеспечению доступа инвалидов к объекту капитального строительства; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/0809-25-ОДИ; Объект: МБОУ ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	7.600
D:\TEST_AI1\63637\4-1-11 Меропр-я по доступу инвал\Раздел ПД№11 ТР-СК-0809-25-ОДИ.С.pdf	"Документация: Проектная документация; Раздел: Мероприятия по обеспечению доступа инвалидов к объекту капитального строительства. Ведомости и спецификации; Заказчик: Государственное казённое учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/0809-25-ОДИ.С; Объект: МБОУ ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	7.919
D:\TEST_AI1\63637\4-2-1-1 Инж-геодезические\Отчет_39-ТОС-25-ИГДИ.pdf	Документация: Технический отчёт Раздел: Технический отчёт по результатам инженерно-геодезических изысканий Заказчик: «Компания ТОР» Исполнитель: не указано Проект: № П-184-007710145853-0252 Объект: МБОУ г. Ивантеевка «Гимназия №3» (Корпус 2 - дошкольное отделение «Ручеёк»)	6.288
D:\TEST_AI1\63637\4-2-2-2 Обслед. грунтов\ТЗК Ивантеевка.pdf	"Документация: Проектная документация; Раздел: Техническое заключение о состоянии строительных конструкций и инженерного оборудования здания; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/0809-25-ТЗК; Объект: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	7.886
D:\TEST_AI1\63637\4-3-01 Задание на проектирование\1.ЗнП.pdf	Документация: Техническое задание; Раздел: Техническое задание; Заказчик: Общество с ограниченной ответственностью «Компания ТОР»; Исполнитель: отсутствует; Проект: Договор №ТР/СК/О809-25 от «08» сентября 2025 г.; Объект: МБОУ г. Ивантеевка «Гимназия №3» (Корпус 2 - дошкольное отделение «Ручеёк»), Московская область, г. Ивантеевка, ул. Богданова, д. 1.	8.062
D:\TEST_AI1\63637\4-3-02 Задание на выполн. ИИ\Ивантеевка ТЗ на ИГДИ.pdf	Документация: Техническое задание; Раздел: Техническое задание на инженерно-геодезические изыскания; Заказчик: не указано; Исполнитель: не указано; Проект: не указано; Объект: Гимназия № 3 дошкольное отделение Ручеек	3.966
D:\TEST_AI1\63637\4-3-02 Задание на выполн. ИИ\Ивантеевка ТЗ на ТЗК.pdf	Документация: Техническое задание; Раздел: Техническое задание; Заказчик: ООО «Компания ТОР»; Исполнитель: ООО «СИСТЕМ» Компания»; Проект: на техническое обследование объекта — «Гимназия № 3 дошкольное отделение Ручеек» по адресу: Московская область, г. о. Пушкинский, г. Ивантеевка, ул. Богданова, д. 1; Объект: Гимназия № 3 дошкольное отделение Ручеек по адресу: Московская область, г. о. Пушкинский, г. Ивантеевка, ул. Богданова, д. 1.	8.679
D:\TEST_AI1\63637\4-3-03 Программа ИИ\2.3.ПР на ИГДИ.pdf	Документация: Программа работ; Раздел: Программа работ; Заказчик: ООО «СИСТЕМ» Компания; Исполнитель: ООО «Компания ТОР»; Проект: не указан; Объект: Гимназия № 3 дошкольное отделение Ручеек;	3.548
D:\TEST_AI1\63637\4-3-03 Программа ИИ\2.4.ПР на ТЗК.pdf	Документация: Программа работ; Раздел: —; Заказчик: ООО «Компания ТОР»; Исполнитель: ООО «СИСТЕМ» Компания»; Проект: —; Объект: Гимназия № 3 дошкольное отделение Ручеек по адресу: Московская область, г. о. Пушкинский, г. Ивантеевка, ул. Богданова, д. 1.	5.354
D:\TEST_AI1\63637\4-3-05 Размещение ОКС\1.1.Распоряжение.pdf	Документация: Распоряжение; Раздел: Адресный перечень; Заказчик: Министерство строительного комплекса Московской области; Исполнитель: не применимо; Проект: 26.09.2025 А 527; Объект: не применимо	4.393
D:\TEST_AI1\63637\4-3-05 Размещение ОКС\ГПЗУ_МБОУ_г_Ивантеевка_Гимназия3_2.pdf	"Документация: Градостроительный план земельного участка; Раздел: Градостроительный план земельного участка; Заказчик: МБОУ Г. Ивантеевка ""Гимназия №3""; Исполнитель: —; Проект: РФ -50-3-79-0-00-2024-29953-0; Объект: земельный участок с кадастровым номером 50:43:0010801:2."	7.769
D:\TEST_AI1\63637\4-3-05 Размещение ОКС\ЕГРН Ивантеевка здание.pdf	"Документация: Выписка из ЕГРН; Раздел: Сведения о характеристиках объекта недвижимости; Заказчик: не указано; Исполнитель: не указано; Проект: не указано; Объект: Муниципальное дошкольное образовательное учреждение Центр развития ребенка Детский сад № 15 ""Ручеек"""	5.214
D:\TEST_AI1\63637\4-3-05 Размещение ОКС\ЕГРН Ивантеевка участок.pdf	"Документация: Выписка из ЕГРН; Раздел: Сведения о характеристиках объекта недвижимости; Заказчик: не указан; Исполнитель: Филиал публично-правовой компании ""Роскадастр"" по Московской области; Проект: не указан; Объект: Земельный участок, почтовый адрес: обл. Московская, г. Ивантеевка, ул. Богданова, дом 1."	5.709
D:\TEST_AI1\63637\4-3-06 ТУ инжсети\5.1.ТУ электроснабжение.pdf	Документ: счет на оплату	1.743
D:\TEST_AI1\63637\4-3-06 ТУ инжсети\5.10.Контракт Ростелеком.pdf	"Документация: Контракт; Раздел: предмет контракта; Заказчик: МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ Г.ИВАНТЕЕВКА ГОРОДСКОГО ОКРУГА ПУШКИНСКИЙ МОСКОВСКОЙ ОБЛАСТИ ""ГИМНАЗИЯ №3""; Исполнитель: Публичное акционерное общество ""Ростелеком""; Проект: № 225100194086; Объект: оказание услуг связи юридическому лицу, финансируемому из соответствующего бюджета."	9.663
D:\TEST_AI1\63637\4-3-06 ТУ инжсети\5.11.Контракт интернет.pdf	"Документация: Договор; Раздел: Предмет Контракта; Заказчик: МБОУ ""Гимназия №3""; Исполнитель: ООО ""ИТКМ""; Проект: Контракт № 3; Объект: оказание услуги по организации и предоставлению доступа к сети Интернет и каналов связи на 2025 год."	5.892
D:\TEST_AI1\63637\4-3-06 ТУ инжсети\5.2.ТУ водоснабжение.pdf	Документация: Договор; Раздел: Предмет договора; Заказчик: Муниципальное бюджетное общеобразовательное учреждение г. Ивантеевка Городского округа Пушкинский Московской области «Гимназия №3»; Исполнитель: Общество с ограниченной ответственностью «Водоканал»; Проект: №03/12/25-338; Объект: подключение к централизованной системе холодного водоснабжения;	6.760
D:\TEST_AI1\63637\4-3-06 ТУ инжсети\5.3.ТУ Водоотведение.pdf	Документация: Технические условия; Раздел: Технические условия; Заказчик: Муниципальное бюджетное общеобразовательное учреждение «Тимназия №3» г. Ивантеевка городского округа Пушкинский Московской области; Исполнитель: ООО «Водоканал»; Проект: 12205; Объект: земельный участок с кадастровым номером 50:43:0010301:2.	7.767
D:\TEST_AI1\63637\4-3-06 ТУ инжсети\5.4.ТУ теплоснабжение.pdf	Документация: Договор; Раздел: —; Заказчик: МБОУ г. Ивантеевка «Гимназия №3»; Исполнитель: АО «Ивантеевская Теплосеть»; Проект: 1/28 /26; Объект: Московская область, г. о. Пушкинский, г. Ивантеевка, ул. Богданова, 1, участок с кадастровым номером: 50:43:0010301:24.	7.934
D:\TEST_AI1\63637\4-3-06 ТУ инжсети\5.4.ТУ узел учета тепла.pdf	Документация: письмо; Раздел: —; Заказчик: —; Исполнитель: —; Проект: —; Объект: МБОУ г. Ивантеевка «Гимназия №3», Детский сад «Ручеек», корпус №2. по адресу: Московская обл., г. о. Пушкинский, г. Ивантеевка, ул. Богданова, д.1;	7.217
D:\TEST_AI1\63637\4-3-06 ТУ инжсети\5.6.ТУ Безопасный регион.pdf	Документация: Технические условия; Раздел: Технические условия; Заказчик: МБОУ г. Ивантеевка «Гимназия №3» (Корпус 2 - дошкольное отделение «Ручеёк»); Исполнитель: Государственный казенный учреждение Московской области «Центр информационной безопасности Московской области»; Проект: № 20251128-1ЭУ; Объект: МБОУ г. Ивантеевка «Гимназия №3» (Корпус 2 - дошкольное отделение «Ручеёк»).	9.107
D:\TEST_AI1\63637\4-3-06 ТУ инжсети\5.7.ТУ Радиофикация, ОСО и Пож.pdf	"Документация: Технические условия; Раздел: Технические условия; Заказчик: МБОУ г. Ивантеевка ""Гимназия №3""; Исполнитель: ООО «СИСТЕМ «Компания»; Проект: ТУ-591/2026; Объект: Выполнение работ по капитальному ремонту с поставкой оборудования для МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручебк"")."	6.842
D:\TEST_AI1\63637\4-3-06 ТУ инжсети\5.8.ОСО.pdf	Документация: Технические условия; Раздел: Технические условия; Заказчик: МБОУ г. Ивантеевка «Гимназия № 3 (корпус 2 — дошкольное отделение «Ручеек»); Исполнитель: Отдел по гражданской обороне и чрезвычайным ситуациям управления по территориальной безопасности, гражданской обороне и чрезвычайным ситуациям Администрации Городского округа Пушкинский Московской области; Проект: не указан; Объект: МБОУ г. Ивантеевка «Гимназия № 3 (корпус 2 — дошкольное отделение «Ручеек»), ул. Богданова, д. 1, Московская обл., Городской округ Пушкинский.	10.429
D:\TEST_AI1\63637\4-3-08 Полномочия заявителя\Доверенность на ТОР_ИВН.pdf	Документация: Доверенность; ФИО: Горшков Алексей Павлович; Дата: 03.2026.	2.867
D:\TEST_AI1\63637\4-3-08 Полномочия заявителя\Приказ на Гендира_компания ТОР.pdf	Документ: Приказ;   ФИО: Максова Вера Викторовна;   Дата: 17.06.2013;	2.191
D:\TEST_AI1\63637\4-3-09 Выписка реестра СРО\Выписка из СРО_изыскания от 06.03_Систем.pdf	Документация: Выписка из реестра СРО; Раздел: Сведения о члене саморегулируемой организации; Заказчик: Общество с ограниченной ответственностью «СИСТЕМ «Компания»; Исполнитель: Союз «Профессиональный альянс инженеров-изыскателей»; Проект: СРО-И-043-25042018; Объект: Общество с ограниченной ответственностью «СИСТЕМ «Компания».	7.128
D:\TEST_AI1\63637\4-3-09 Выписка реестра СРО\Выписка из СРО_проект от 06.03_Систем.pdf	"Документация: Выписка из реестра СРО; Раздел: Сведения о члене СРО; Заказчик: Общество с ограниченной ответственностью «СИСТЕМ «Компания»; Исполнитель: Ассоциация ""Профессиональный Альянс Проектировщиков""; Проект: СРО-П-184-06052013; Объект: Общество с ограниченной ответственностью «СИСТЕМ «Компания»."	7.120
D:\TEST_AI1\63637\4-3-09 Выписка реестра СРО\Выписка из СРО_проект_ТОР.pdf	Документация: Выписка из реестра; Раздел: Сведения о члене саморегулируемой организации; Заказчик: Общество с ограниченной ответственностью «Компания ТОР»; Исполнитель: Ассоциация «Объединение проектировщиков опасных производственных объектов «СПЕЦПРОЕКТОБЪЕДИНЕНИЕ»; Проект: СРО-П-122-25012010; Объект: Общество с ограниченной ответственностью «Компания ТОР».	8.028
D:\TEST_AI1\63637\4-3-09 Выписка реестра СРО\Выписка из СРО_стройка_ТОР.pdf	Документация: Выписка из реестра членов; Раздел: Сведения о члене саморегулируемой организации; Заказчик: не указано; Исполнитель: не указано; Проект: № СРО-7710941750-20260306-1601 06-03-2026; Объект: не указано;	6.980
D:\TEST_AI1\63637\4-3-11 Акты приемки работ\Акт_приёма_передачи_Ивантеевка_ТЧ.pdf	Документация: Акт; Раздел: —; Заказчик: Государственное казенное учреждение Московской области «Дирекция заказчика капитального строительства» (ГКУ МО «ДЗКС»); Исполнитель: общество с ограниченной ответственностью «Компания ТОР»; Проект: 0148200005425000535; Объект: МБОУ г. Ивантеевка «Гимназия №3» (Корпус 2 - дошкольное отделение «Ручеёк»), Московская область, г. Ивантеевка, ул. Богданова, д. 1.	10.526
D:\TEST_AI1\63637\4-3-14-2 Иные сведения\Письмо в МОГЭ_по смете.pdf	"Документация: письмо; Раздел: —; Заказчик: МБОУ г. Ивантеевка ""Гимназия №3""; Исполнитель: —; Проект: —; Объект: Выполнение работ по капитальному ремонту с поставкой оборудования, необходимого для обеспечения эксплуатации такого объекта: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк"") расположенного по адресу: Московская область, г. Ивантеевка, ул. Богданова, д. 1."	7.949
