# Модель: gigachat3.1-10b-a1.8b
# Путь: D:\TEST_AI
# Среднее время ответа модели: 6.570 с
# Общее время ответов: 2772.554 с
# Минимальное время: 0.787 с
# Максимальное время: 14.811 с
# Количество обработанных файлов: 429
# Дата: 2026-03-31 16:58:55

Путь	Результат	Время_ответа_с
D:\TEST_AI\63457\4-1-05-3 Система водоотведения\Раздел ПД №5 Подраздел ПД №5.3 ИОС3.2.pdf	"Документация: Проектная документация; Раздел: «Сведения об инженерном оборудовании, о сетях инженерно-технического обеспечения»; Заказчик: ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АРХИТЕКТУРНО- КОНСТРУКТОРСКОЕ БЮРО ""ГОРОД""; Исполнитель: Ассоциации проектировщиков ""СтройАльянсПроект""; Проект: 04-ПД/2025-ИОСЗ.2; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский"	9.990
D:\TEST_AI\63457\4-1-05-4 Отопл. конд. возд. тепл\Раздел ПД №5 Подраздел ПД №5.4 ИОС4.1.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения; Заказчик: Общество с ограниченной ответственностью Архитектурно-конструкторское бюро ""ГОРОД""; Исполнитель: ; Проект: 04-1Д/2025-ИОС4.1; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский"	7.731
D:\TEST_AI\63457\4-1-05-4 Отопл. конд. возд. тепл\Раздел ПД №5 Подраздел ПД №5.4 ИОС4.2.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях инженерно-технического обеспечения; Заказчик: ООО ""АРХИТЕКТУРНО-КОНСТРУКТОРСКОЕ БЮРО ""ГОРОД""""; Исполнитель: Ассоциация проектировщиков ""СтройАльянсПроект""; Проект: 04-ПД/2025-ИОС4.2; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский"	8.798
D:\TEST_AI\63457\4-1-05-4 Отопл. конд. возд. тепл\Раздел ПД №5 Подраздел ПД №5.4 ИОС4.3.1.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях инженерно-технического обеспечения (Подраздел 5.4); Заказчик: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест; Исполнитель: Архитектурно-конструкторское бюро ""Город""; Проект: 04-ПД/2025-ИОС4.3.1; Объект: Московская область, г. о. Люберцы, р.п. Октябрьский"	7.627
D:\TEST_AI\63457\4-1-05-5 Сети связи\Раздел ПД №5 Подраздел ПД №5.5 ИОС5.1.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях инженерно-технического обеспечения; Заказчик: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест; Исполнитель: Архитектурно-конструкторское бюро ""Город""; Проект: 04-ПД/2025-ИОС5.1; Объект: Московская область, г. о. Люберцы, р. п. Октябрьский"	6.728
D:\TEST_AI\63457\4-1-05-5 Сети связи\Раздел ПД №5 Подраздел ПД №5.5 ИОС5.2 .pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях инженерно-технического обеспечения; Заказчик: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский; Исполнитель: Архитектурно-конструкторское бюро ""Город""; Проект: 04-ПД/2025-ИОС5.2; Объект: ВОК в составе СОШ и ДОУ по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский"	8.781
D:\TEST_AI\63457\4-1-05-5 Сети связи\Раздел ПД №5 Подраздел ПД №5.5 ИОС5.3.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях инженерно-технического обеспечения (Подраздел 5.5. Сети связи); Заказчик: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский; Исполнитель: Архитектурно-конструкторское бюро ""ГОРОД""; Проект: 04-ПД/2025-ИОС5.3; Объект: адрес: Московская область, г. о. Люберцы, р. п. Октябрьский"	9.325
D:\TEST_AI\63457\4-1-05-5 Сети связи\Раздел ПД №5 Подраздел ПД №5.5 ИОС5.4.1.pdf	Документация: Проектная документация; Раздел: 5 (ведения од инженерном одорудовании, о сетях инженерно-технического обеспечения); Заказчик: ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АРХИТЕКТУРНО-КОНСТРУКТОРСКОЕ БЮРО “ГОРОД”; Исполнитель: Ассоциации проектировщиков “СтройАльянсПроект”; Проект: 04-ПД/2025-ИОС5.4.1; Объект: ВОК 86 состава СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский	10.650
D:\TEST_AI\63457\4-1-05-5 Сети связи\Раздел ПД №5 Подраздел ПД №5.5 ИОС5.4.2.pdf	Документация: Проектная документация; Раздел: 5 (ведения од инженерном одорудовании, о сетях инженерно-технического обеспечения); Заказчик: ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АРХИТЕКТУРНО-КОНСТРУКТОРСКОЕ БЮРО “ГОРОД”; Исполнитель: Ассоциации проектировщиков “СтройАльянсПроект”; Проект: 04- ПД/2025- ИОС5.4.2; Объект: ВОК 86 составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Луховицы	9.927
D:\TEST_AI\63457\4-1-05-5 Сети связи\Раздел ПД №5 Подраздел ПД №5.5 ИОС5.5.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях инженерно-технического обеспечения; Заказчик: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский; Исполнитель: Архитектурно-конструкторское бюро ""Город""; Проект: 04-ПД/2025-ИОС5.5; Объект: г. о. Люберцы, р. п. Октябрьский"	7.804
D:\TEST_AI\63457\4-1-06 Технологические реш\Раздел ПД №6 ТХ.pdf	"Документация: Проектная документация; Раздел: Технологические решения; Заказчик: Общество с ограниченной ответственностью ""АРХИТЕКТУРНО-КОНСТРУКТОРСКОЕ БЮРО ""ГОРОД""""; Исполнитель: ; Проект: 04-ПД/2025-ТХ; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский"	7.191
D:\TEST_AI\63457\4-1-07 Проект орг. стр-ва\Раздел ПД №7 ПОС.pdf	"Документация: Проектная документация; Раздел: Проект организации строительства; Заказчик: ВОК в составе СОШ на 1500 мест и ДОУ на 200; Исполнитель: Архитектурно-конструкторское бюро ""Город""; Проект: 04-ПД/2025-ПОС; Объект: Московская область, г. о. Люберцы, р. п. Октябрьский"	5.900
D:\TEST_AI\63457\4-1-08 Переч. по охр. окр. среды\Раздел ПД №8 ООС.pdf	"Документация: Проектная документация; Раздел: Перечень мероприятий по охране окружающей среды; Заказчик: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест; Исполнитель: Архитектурно-конструкторское бюро ""Город""; Проект: 04-ПД/2025-00С; Объект: Московская область, г. о. Люберцы, р. п. Октябрьский"	6.275
D:\TEST_AI\63457\4-1-09 Меропр. по пож. по без-ти\Раздел ПД №9 ПБ.pdf	"Документация: Проектная документация; Раздел: Мероприятия по обеспечению пожарной безопасности; Заказчик: ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АРХИТЕКТУРНО-КОНСТРУКТОРСКОЕ БЮРО ""ГОРОД""; Исполнитель: Ассоциации проектировщиков ""СтройАльянсПроект""; Проект: 09-ПД/2024- ПБ; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский"	9.039
D:\TEST_AI\63457\4-1-10 Безопасн эксплуат\Раздел ПД №10 БЭ.pdf	"Документация: Проектная документация; Раздел: Требования к обеспечению безопасной эксплуатации объектов капитального строительства.; Заказчик: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский; Исполнитель: Архитектурно-конструкторское бюро ""Город""; Проект: 04-ПД/2025-БЭ; Объект: Московская область, г. о. Люберцы, р. п. Октябрьский"	7.263
D:\TEST_AI\63457\4-1-11 Меропр-я по доступу инвал\Раздел ПД №11 ОДИ.pdf	"Документация: Проектная документация; Раздел: Мероприятия по обеспечению доступа инвалидов; Заказчик: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест; Исполнитель: Архитектурно-конструкторское бюро ""Город""; Проект: 04-ПД/2025-ОДИ; Объект: Московская область, г. о. Люберцы, р. п. Октябрьский"	6.486
D:\TEST_AI\63457\4-1-12-1 Пояс. зап. к сметн. док\Раздел ПД №12 СМ.ПЗ.pdf	"Документация: Проектная документация; Раздел: Смета на строительство объектов капитального строительства; Заказчик: ВОК в составе СОШ на 1500 мест и ДОУ на 200; Исполнитель: Архитектурно-конструкторское бюро ""ГОРОД""; Проект: 04-ПД/2025-СМ. ПЗ; Объект: Московская область, г. о. Люберцы, п. Октябрьский"	6.666
D:\TEST_AI\63457\4-1-12-3 Конъюнктурный анализ\Раздел ПД №12 СМ.КА.pdf	Документация: Проектная документация; Раздел: Конъюнктурный анализ; Заказчик: ; Исполнитель: ; Проект: ; Объект: воспитательно-образовательный комплекс в составе СОШ на 1510 мест, г. о. Балашиха, р.п. Октябрьский	4.259
D:\TEST_AI\63457\4-1-12-6-5 Отдельные виды затрат\Раздел ПД№12.5 Смета на ПИР_.pdf	"Документация: Проектная документация; Раздел: Смета на строительство объектов капитального строительства. Сметы на проектно-изыскательские работы; Заказчик: ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АРХИТЕКТУРНО- КОНСТРУКТОРСКОЕ БЮРО ""ГОРОД""; Исполнитель: Ассоциация проектировщиков ""СтройАльянсПроект""; Проект: 04-ПД/2025-СМ. ПИР; Объект: ВОК комплекс в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский"	10.255
D:\TEST_AI\63457\4-1-13-4 Иная документация\Раздел ПД №13 Подраздел №13.1 АЗ.pdf	"Документация: Проектная документация; Раздел: 13; Заказчик: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский; Исполнитель: Архитектурно-конструкторское бюро ""Город""; Проект: 04-ПД/2025-АЗ; Объект: не указан"	6.847
D:\TEST_AI\63457\4-2-1-1 Инж-геодезические\141-ДГР-2024-ИГДИ-Технический отчет.pdf	Документация: Технический отчёт; Раздел: по результатам инженерно-геодезических изысканий для подготовки проектной документации; Заказчик: не указано; Исполнитель: ООО «Север-Изыскания»; Проект: 141-ДГР-2024-ИГДИ; Объект: воспитательно-образовательный комплекс в составе СОШ на 1500 мест и ДОУ на 200 мест, Московская область, г. п. Октябрьский	6.681
D:\TEST_AI\63457\4-2-1-1 Инж-геодезические\141-ДГР-2024-ИДГИ (дендроплан).pdf	ОШИБКА: Error code: 400 - {'error': 'The number of tokens to keep from the initial prompt is greater than the context length (n_keep: 6408>= n_ctx: 4096). Try to load the model with a larger context length, or provide a shorter input.'}	N/A
D:\TEST_AI\63457\4-2-1-2 Инж-геологические\031-ИГИ-2025_Люберцы.pdf	Документация: Технический отчёт; Раздел: по результатам инженерно-геологических изысканий; Заказчик: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест; Исполнитель: ООО «Север-Изыскания»; Проект: ; Объект: Московская область, г. о. Люберцы, р. п. Октябрьский	4.829
D:\TEST_AI\63457\4-2-1-4 Инж-экологические\031-ИЭИ-2025_Люберцы.pdf	Документация: Технический отчёт; Раздел: Инженерно-экологические изыскания; Заказчик: ООО «Триумф»; Исполнитель: ООО «Север-Изыскания»; Проект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский; Объект: адрес объекта строительства	5.219
D:\TEST_AI\63457\4-3-02 Задание на выполн. ИИ\Техническое задание_031-ИГИ-2025..pdf	"Документация: Договор; Раздел: Перечень основных данных и требований; Заказчик: ГКУ МО ""ДЗКС""; Исполнитель: ООО «Триумф»; Проект: Строительство; Объект: Московская обл., г. о. Люберцы, р. п. Октябрьский, Подольское лесничество, Томилинское участковое лесничество, квартал 33, выделы 10,11,12,13,14,5,18,19, земельный участок с КН 50:22:0020101:11308"	9.250
D:\TEST_AI\63457\4-3-02 Задание на выполн. ИИ\Техническое задание_031-ИЭИ-2025_.pdf	"Документация: Техническое задание; Раздел: Данные по объекту; Заказчик: ГКУ МО ""ДЗКС""; Исполнитель: ООО «Север-Изыскания»; Проект: ; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест, Московская область, городской округ Люберцы, гп. Октябрьский"	6.048
D:\TEST_AI\63457\4-3-02 Задание на выполн. ИИ\Техническое задание_141-ДГР-2024-ИГДИ.pdf	Документация: Задание на выполнение инженерно-геодезических изысканий; Раздел: Задание; Заказчик: ООО «Триумф»; Исполнитель: ООО «Север-Изыскания»; Проект: Договор от 04.12.2024 г. № 141-ДГР-2024; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, городской округ Люберцы, г. п. Октябрьский	8.401
D:\TEST_AI\63457\4-3-03 Программа ИИ\Программа_031-ИГИ-2025.pdf	Документация: Программа; Раздел: на производство инженерно-геологических изысканий; Заказчик: ; Исполнитель: ООО «Север-Изыскания»; Проект: ; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, городской округ Люберцы, г. п. Октябрьский	5.389
D:\TEST_AI\63457\4-3-03 Программа ИИ\Программа_031-ИЭИ-2025.pdf	Документация: Программа; Раздел: инженерно-экологические изыскания по объекту; Заказчик: ; Исполнитель: ООО «Север-Изыскания»; Проект: ; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест, Московская область, городской округ Люберцы, г. п. Октябрьский	5.046
D:\TEST_AI\63457\4-3-03 Программа ИИ\Программа_141-ДГР-2024-ИГДИ.pdf	Документация: ИУЛ; Раздел: Согласование на производство изысканий; Заказчик: ; Исполнитель: ООО «Север-Изыскания»; Проект: 141-ДГР-2024-ИГДИ; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест, Московская область, городской округ Люберцы, г. п. Октябрьский	5.915
D:\TEST_AI\63457\4-3-05 Размещение ОКС\ГПЗУ РФ-50-3-48-0-00-2024-27487-0 от 04.06.2024.pdf	Документация: Градостроительный план земельного участка; Раздел: ГПЗУ; Заказчик: Администрация муниципального образования городской округ Люберцы Московской области; Исполнитель: ; Проект: ; Объект: Московская область, городской округ Люберцы	4.485
D:\TEST_AI\63457\4-3-06 ТУ инжсети\Договор №ИА-25-302-26726 (289317)_17.09.2025_Электрика.pdf	"Документация: Договор; Раздел: предмет договора; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: Публичное акционерное общество «Россети Московский регион»; Проект: №ИА-25-302-26726(289817); Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р.п. Октябрьский;"	8.929
D:\TEST_AI\63457\4-3-06 ТУ инжсети\Договор_36ТПВО-25 от 29.10.2025_Водоотведение.pdf	Документация: Договор; Раздел: о технологическом присоединении; Заказчик: Государственное казенное учреждение Московской области «Дирекция заказчика капитального строительства»; Исполнитель: Акционерное общество «Люберецкий Водоканал»; Проект: №36ТП/ВО-2; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест, Московская область, г. о. Люберцы, р. п. Октябрьский.	7.887
D:\TEST_AI\63457\4-3-06 ТУ инжсети\Договор_38ТПВС-25 от 29.10.2025_Водоснабжение.pdf	Документация: Договор; Раздел: предмет договора; Заказчик: Государственное казенное учреждение Московской области «Дирекция заказчика капитального строительства»; Исполнитель: Акционерное общество «Люберецкий Водоканал»; Проект: №38ТП/ВС-25; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский	7.728
D:\TEST_AI\63457\4-3-06 ТУ инжсети\Письмо №2827_1-1-10 от 03.07.2025 Отсутствие К2.pdf	Документация: Письмо; Раздел: ответ на обращение; Заказчик: ООО «Триумф»; Исполнитель: Администрация Городского округа Люберцы Московской области; Проект: № Е 2-62; Объект: поселок городского типа Октябрьский	3.967
D:\TEST_AI\63457\4-3-06 ТУ инжсети\ТУ № 154_2025 от 05.06.2025_Оповещение (ОСО).pdf	Документация: Технические условия; Раздел: на подключение (присоединение); Заказчик: Муниципальное учреждение «Единая дежурно-диспетчерская служба системы 112 городского округа Люберцы Московской области»; Исполнитель: не указан; Проект: не указан; Объект: воспитательно-образовательный комплекс в составе СОШ на 1500 мест и ДОУ на 200 мест, г. о. Люберцы, Московская область, рабочий поселок Октябрьский, кадастровый номер 50:22:0020101:11308	8.395
D:\TEST_AI\63457\4-3-06 ТУ инжсети\ТУ № 164 от 24.09.2025_диспетчеризацию лифта.pdf	Документация: Технические условия; Раздел: диспетчеризация лифтов; Заказчик: ООО «ТРИУМФ»; Исполнитель: АО Фирма «ЛИФТРЕМОНТ»; Проект: —; Объект: ВОК в составе СОШ на 1500 и ДОУ на 200 мест, Московская область, г. о. Люберцы, р. п. Октябрьский, кадастровый номер 50:22:0020101:11308	8.377
D:\TEST_AI\63457\4-3-06 ТУ инжсети\ТУ №20250124-9ЭУ от 24.01.2025_БР.pdf	Документация: Технические условия; Раздел: подключение к ЕРИС-ВН; Заказчик: Министерство государственного управления, информационных технологий и связи Московской области; Исполнитель: не указан; Проект: не указан; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест	5.537
D:\TEST_AI\63457\4-3-06 ТУ инжсети\ТУ №20251403 от 05.08.2025_Тревожная кнопка.pdf	Документация: Заявление; Раздел: рассмотрение обращения; Заказчик: Люберецкий ОВО — филиал ФГКУ «УВО ВНГ России по Московской области»; Исполнитель: не указан; Проект: проектирование технических средств тревожной сигнализации; Объект: образовательное учреждение.	4.522
D:\TEST_AI\63457\4-3-06 ТУ инжсети\ТУ №2386 от 20.11.2025_Теплоснабжение.pdf	Документация: Письмо; Раздел: ответ на обращение; Заказчик: ГКУ МО «ДЗКС»; Исполнитель: Акционерное общество «Люберецкая теплосеть»; Проект: № 20495; Объект: Московская область, г. о. Люберцы, Подольское лесничество, Томилинское участковое лесничество, квартал 33 (выделы 10,11,12,13,4,5,18,19), земельный участок с кадастровым номером 50:22:0020101:11308	8.808
D:\TEST_AI\63457\4-3-06 ТУ инжсети\ТУ №ТУ-730_2025 от 29.07.2025_Сети связи.pdf	Документация: Технические условия; Раздел: технические условия на комплекс телекоммуникационных систем; Заказчик: ООО «Триумф»; Исполнитель: ООО «Аструс Телеком»; Проект: № ТУ-730/2025 (п. Октябрьский, школа); Объект: ВОК в составе СОШ на 1500 мест и ДОУ ня 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский	8.359
D:\TEST_AI\63457\4-3-08 Полномочия заявителя\Доверенность № 05_2026 от 19.01.2026г..pdf	Документ: Доверенность; ФИО: не указано; Дата: 19.01.2026	2.770
